id, username, password, role, region
1, admin, admin123, admin, global
2, user1, user123, user, north
3, user2, user123, user, south
4, user3, user123, user, east
5, user4, user123, user, west
6, user5, user123, user, central
7, user6, user123, user, north
8, user7, user123, user, south
9, user8, user123, user, east
10, user9, user123, user, west
11, user10, user123, user, central
12, user11, user123, user, north
13, user12, user123, user, south
14, user13, user123, user, east
15, user14, user123, user, west
16, user15, user123, user, central
17, user16, user123, user, north
18, user17, user123, user, south
19, user18, user123, user, east
20, user19, user123, user, west
21, user20, user123, user, central
22, user21, user123, user, north
23, user22, user123, user, south
24, user23, user123, user, east
25, user24, user123, user, west
